loop-location,icc-parallel,loop-absolute-size,loop-payload-fraction,loop-proper-sccs-number,loop-critical-payload-fraction,iterator-payload-total-cohesion,iterator-payload-non-cf-cohesion,iterator-payload-mem-cohesion,critical-payload-total-cohesion,critical-payload-non-cf-cohesion,critical-payload-mem-cohesion,payload-total-dependencies-number,payload-true-dependencies-number,payload-anti-dependencies-number,payload-output-dependencies-number,payload-cross-dependencies-number,critical-payload-total-dependencies-number,critical-payload-true-dependencies-number,critical-payload-anti-dependencies-number,critical-payload-output-dependencies-number,critical-payload-cross-dependencies-number,iterator-mem-write-count,iterator-mem-write-fraction,iterator-call-count,iterator-call-fraction,payload-mem-write-count,payload-mem-write-fraction,payload-call-count,payload-call-fraction,critical-payload-mem-write-count,critical-payload-mem-write-fraction,critical-payload-call-count,critical-payload-call-fraction
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/error.c(81),1,18,0.7778,1,0.4286,0.3846,0.02564,0,0.1875,0.1875,0,16,12,1,1,0,10,6,1,1,0,0,0,0,0,1,0.07143,0,0,1,0.1667,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/error.c(74),1,14,0.7143,1,0.3,0.4,0.06667,0,0.3,0.3,0,10,9,1,0,0,4,3,1,0,0,0,0,0,0,1,0.1,0,0,1,0.3333,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/error.c(59),0,65,0.1692,0,0,0.2667,0.01111,0,0,0,0,7,2,0,0,0,0,0,0,0,0,2,0.03704,1,0.01852,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/error.c(61),0,53,0.2075,0,0,0.3288,0.0137,0,0,0,0,7,2,0,0,0,0,0,0,0,0,2,0.04762,1,0.02381,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/error.c(63),0,41,0.2683,0,0,0.6207,0.01724,0,0,0,0,7,4,0,0,0,0,0,0,0,0,1,0.03333,0,0,1,0.09091,1,0.09091,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/error.c(67),1,27,0.8519,1,0.1304,0.4576,0.0678,0,0.125,0.125,0,24,22,1,1,0,5,3,1,1,0,0,0,0,0,1,0.04348,0,0,1,0.3333,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/error.c(55),1,9,0.5556,0,0,0.375,0.0625,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/error.c(48),1,9,0.5556,0,0,0.375,0.0625,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/error.c(122),1,32,0.5,1,0.375,0.4355,0.03226,0,0.1852,0.07407,0,27,10,4,3,0,17,6,4,3,0,0,0,0,0,3,0.1875,1,0.0625,3,0.5,1,0.1667
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/error.c(123),1,18,0.7778,1,0.4286,0.3846,0.02564,0,0.1875,0.1875,0,16,12,1,1,0,10,6,1,1,0,0,0,0,0,1,0.07143,0,0,1,0.1667,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/error.c(116),1,14,0.7143,1,0.3,0.4,0.06667,0,0.3,0.3,0,10,9,1,0,0,4,3,1,0,0,0,0,0,0,1,0.1,0,0,1,0.3333,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/error.c(106),0,50,0.16,0,0,0.2361,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0.02381,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/error.c(107),0,41,0.1951,0,0,0.2586,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0.0303,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/error.c(108),0,32,0.1875,0,0,0.5909,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0.03846,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/error.c(109),1,23,0.8261,1,0.1579,0.44,0.06,0,0.15,0.15,0,20,18,1,1,0,5,3,1,1,0,0,0,0,0,1,0.05263,0,0,1,0.3333,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/error.c(102),1,9,0.5556,0,0,0.375,0.0625,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/error.c(95),1,9,0.5556,0,0,0.375,0.0625,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(355),1,52,0.1538,0,0,0.2297,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0.02273,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(356),1,43,0.186,0,0,0.25,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0.02857,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(357),1,34,0.1765,0,0,0.6087,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0.03571,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(358),1,25,0.84,1,0.1429,0.4423,0.03846,0,0.09524,0.09524,0,21,19,1,1,0,5,3,1,1,0,0,0,0,0,1,0.04762,0,0,1,0.3333,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(258),0,843,0.01305,0,0,0.03298,0.0007496,0,0,0,0,7,2,0,0,0,0,0,0,0,0,16,0.01923,1,0.001202,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(260),0,831,0.0373,0,0,0.5642,0.0007593,0,0,0,0,23,2,0,0,0,0,0,0,0,0,16,0.02,1,0.00125,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(263),0,119,0.7731,2,0.2391,0.5,0.06641,0,0.1983,0.181,0,116,88,13,7,2,44,25,13,6,2,0,0,0,0,6,0.06522,1,0.01087,4,0.1818,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(283),1,424,0.9858,5,0.0622,0.4778,0.02492,0,0.05532,0.05532,0,470,460,5,5,0,36,26,5,5,0,0,0,0,0,5,0.01196,0,0,5,0.1923,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(320),1,98,0.9592,1,0.06383,0.4884,0.05116,0,0.05882,0.05882,0,102,94,4,4,0,16,8,4,4,0,0,0,0,0,2,0.02128,0,0,2,0.3333,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(330),1,72,0.08333,0,0,0.7857,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0.01515,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(338),1,102,0.9608,1,0.06122,0.4698,0.04741,0,0.05217,0.05217,0,115,107,4,4,0,16,8,4,4,0,0,0,0,0,2,0.02041,0,0,2,0.3333,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(267),1,14,0.7143,0,0,0.4286,0.07143,0,0,0,0,8,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(273),1,15,0.7333,0,0,0.4333,0.06667,0,0,0,0,9,8,0,1,0,0,0,0,0,0,0,0,0,0,1,0.09091,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(331),1,63,0.9365,1,0.05085,0.4962,0.05263,0,0.05085,0.05085,0,59,57,1,1,0,5,3,1,1,0,0,0,0,0,1,0.01695,0,0,1,0.3333,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(162),0,843,0.01305,0,0,0.03298,0.0007496,0,0,0,0,7,2,0,0,0,0,0,0,0,0,16,0.01923,1,0.001202,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(164),0,831,0.0373,0,0,0.5642,0.0007593,0,0,0,0,23,2,0,0,0,0,0,0,0,0,16,0.02,1,0.00125,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(167),0,119,0.7731,2,0.2391,0.5,0.06641,0,0.1983,0.181,0,116,88,13,7,2,44,25,13,6,2,0,0,0,0,6,0.06522,1,0.01087,4,0.1818,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(187),1,424,0.9858,5,0.0622,0.4778,0.02492,0,0.05532,0.05532,0,470,460,5,5,0,36,26,5,5,0,0,0,0,0,5,0.01196,0,0,5,0.1923,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(224),1,98,0.9592,1,0.06383,0.4884,0.05116,0,0.05882,0.05882,0,102,94,4,4,0,16,8,4,4,0,0,0,0,0,2,0.02128,0,0,2,0.3333,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(234),1,72,0.08333,0,0,0.7857,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0.01515,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(242),1,102,0.9608,1,0.06122,0.4698,0.04741,0,0.05217,0.05217,0,115,107,4,4,0,16,8,4,4,0,0,0,0,0,2,0.02041,0,0,2,0.3333,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(171),1,14,0.7143,0,0,0.4286,0.07143,0,0,0,0,8,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(177),1,15,0.7333,0,0,0.4333,0.06667,0,0,0,0,9,8,0,1,0,0,0,0,0,0,0,0,0,0,1,0.09091,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(235),1,63,0.9365,1,0.05085,0.4962,0.05263,0,0.05085,0.05085,0,59,57,1,1,0,5,3,1,1,0,0,0,0,0,1,0.01695,0,0,1,0.3333,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(66),0,843,0.01305,0,0,0.03298,0.0007496,0,0,0,0,7,2,0,0,0,0,0,0,0,0,16,0.01923,1,0.001202,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(68),0,831,0.0373,0,0,0.5642,0.0007593,0,0,0,0,23,2,0,0,0,0,0,0,0,0,16,0.02,1,0.00125,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(71),0,119,0.7731,2,0.2391,0.5,0.06641,0,0.1983,0.181,0,116,88,13,7,2,44,25,13,6,2,0,0,0,0,6,0.06522,1,0.01087,4,0.1818,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(91),1,424,0.9858,5,0.0622,0.4778,0.02492,0,0.05532,0.05532,0,470,460,5,5,0,36,26,5,5,0,0,0,0,0,5,0.01196,0,0,5,0.1923,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(128),1,98,0.9592,1,0.06383,0.4884,0.05116,0,0.05882,0.05882,0,102,94,4,4,6,16,8,4,4,6,0,0,0,0,2,0.02128,0,0,2,0.3333,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(138),1,72,0.08333,0,0,0.7857,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0.01515,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(146),1,102,0.9608,1,0.06122,0.4698,0.04741,0,0.05217,0.05217,0,115,107,4,4,0,16,8,4,4,0,0,0,0,0,2,0.02041,0,0,2,0.3333,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(75),1,14,0.7143,0,0,0.4286,0.07143,0,0,0,0,8,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(81),1,15,0.7333,0,0,0.4333,0.06667,0,0,0,0,9,8,0,1,0,0,0,0,0,0,0,0,0,0,1,0.09091,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(139),1,63,0.9365,1,0.05085,0.4962,0.05263,0,0.05085,0.05085,0,59,57,1,1,0,5,3,1,1,0,0,0,0,0,1,0.01695,0,0,1,0.3333,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(52),1,42,0.1905,0,0,0.2742,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0.02941,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(53),1,33,0.2424,0,0,0.3125,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(54),1,24,0.25,0,0,0.5294,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0.05556,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_solution.c(44),0,85,0.9529,1,0.4691,0.4589,0.06763,0,0.1346,0.1346,0,104,78,0,0,0,63,37,0,0,0,0,0,0,0,1,0.01235,0,0,1,0.02632,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(197),0,44,0.25,0,0,0.3871,0.01613,0,0,0,0,7,2,0,0,0,0,0,0,0,0,2,0.06061,1,0.0303,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(199),0,32,0.3438,0,0,0.5745,0.02128,0,0,0,0,7,4,0,0,0,0,0,0,0,0,1,0.04762,0,0,1,0.09091,1,0.09091,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(202),1,18,0.7778,0,0,0.4444,0.05556,0,0,0,0,12,11,0,1,0,0,0,0,0,0,0,0,0,0,1,0.07143,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(180),0,44,0.25,0,0,0.3871,0.01613,0,0,0,0,7,2,0,0,0,0,0,0,0,0,2,0.06061,1,0.0303,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(182),0,32,0.3438,0,0,0.5745,0.02128,0,0,0,0,7,4,0,0,0,0,0,0,0,0,1,0.04762,0,0,1,0.09091,1,0.09091,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(185),1,18,0.7778,0,0,0.4444,0.05556,0,0,0,0,12,11,0,1,0,0,0,0,0,0,0,0,0,0,1,0.07143,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(163),0,44,0.25,0,0,0.3871,0.01613,0,0,0,0,7,2,0,0,0,0,0,0,0,0,2,0.06061,1,0.0303,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(165),0,32,0.3438,0,0,0.5745,0.02128,0,0,0,0,7,4,0,0,0,0,0,0,0,0,1,0.04762,0,0,1,0.09091,1,0.09091,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(168),1,18,0.7778,0,0,0.4444,0.05556,0,0,0,0,12,11,0,1,0,0,0,0,0,0,0,0,0,0,1,0.07143,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(146),0,44,0.25,0,0,0.3871,0.01613,0,0,0,0,7,2,0,0,0,0,0,0,0,0,2,0.06061,1,0.0303,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(148),0,32,0.3438,0,0,0.5745,0.02128,0,0,0,0,7,4,0,0,0,0,0,0,0,0,1,0.04762,0,0,1,0.09091,1,0.09091,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(151),1,18,0.7778,0,0,0.4444,0.05556,0,0,0,0,12,11,0,1,0,0,0,0,0,0,0,0,0,0,1,0.07143,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(129),0,44,0.25,0,0,0.3871,0.01613,0,0,0,0,7,2,0,0,0,0,0,0,0,0,2,0.06061,1,0.0303,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(131),0,32,0.3438,0,0,0.5745,0.02128,0,0,0,0,7,4,0,0,0,0,0,0,0,0,1,0.04762,0,0,1,0.09091,1,0.09091,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(134),1,18,0.7778,0,0,0.4444,0.05556,0,0,0,0,12,11,0,1,0,0,0,0,0,0,0,0,0,0,1,0.07143,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(112),0,44,0.25,0,0,0.3871,0.01613,0,0,0,0,7,2,0,0,0,0,0,0,0,0,2,0.06061,1,0.0303,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(114),0,32,0.3438,0,0,0.5745,0.02128,0,0,0,0,7,4,0,0,0,0,0,0,0,0,1,0.04762,0,0,1,0.09091,1,0.09091,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(117),1,18,0.7778,0,0,0.4444,0.05556,0,0,0,0,12,11,0,1,0,0,0,0,0,0,0,0,0,0,1,0.07143,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(70),0,143,0.07692,0,0,0.1371,0.005714,0,0,0,0,7,2,0,0,0,0,0,0,0,0,4,0.0303,3,0.02273,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(72),0,131,0.08397,0,0,0.2152,0.006329,0,0,0,0,7,2,0,0,0,0,0,0,0,0,4,0.03333,3,0.025,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(74),0,119,0.1765,0,0,0.8085,0.007092,0,0,0,0,14,2,0,0,0,0,0,0,0,0,4,0.04082,3,0.03061,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(77),0,12,0.6667,0,0,0.4348,0.08696,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.125,1,0.125,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(81),0,12,0.6667,0,0,0.4348,0.08696,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.125,1,0.125,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(85),0,12,0.6667,0,0,0.4348,0.08696,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.125,1,0.125,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(89),1,68,0.9412,0,0,0.4733,0.04667,0,0,0,0,71,70,0,1,0,0,0,0,0,0,0,0,0,0,1,0.01562,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(56),1,42,0.1905,0,0,0.2742,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0.02941,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(57),1,33,0.2424,0,0,0.3125,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(58),1,24,0.25,0,0,0.5294,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0.05556,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(59),1,15,0.7333,0,0,0.4138,0.03448,0,0,0,0,9,8,0,1,0,0,0,0,0,0,0,0,0,0,1,0.09091,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(229),1,45,0.3778,1,0.2353,0.5405,0.02703,0,0.1538,0.03846,0,26,7,0,13,8,13,0,0,13,8,0,0,0,0,4,0.2353,0,0,4,1,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(230),1,30,0.8667,1,0.1154,0.4462,0.04615,0,0.1071,0.1071,0,28,21,0,7,4,7,0,0,7,4,0,0,0,0,3,0.1154,0,0,3,1,0,0
