loop-location,icc-parallel,loop-absolute-size,loop-payload-fraction,loop-proper-sccs-number,loop-critical-payload-fraction,iterator-payload-total-cohesion,iterator-payload-non-cf-cohesion,critical-payload-total-cohesion,critical-payload-non-cf-cohesion,payload-total-dependencies-number,payload-true-dependencies-number,payload-anti-dependencies-number,critical-payload-total-dependencies-number,critical-payload-true-dependencies-number,critical-payload-anti-dependencies-number
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/rhs.c(165),1,137,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/rhs.c(176),1,200,0.075,1,0.8667,0.02632,0.008772,0.04348,0.04348,46,24,22,44,22,22
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/rhs.c(93),1,816,0.9179,4,0.06142,0.4425,0.03231,0.05589,0.05589,823,781,42,105,63,42
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/rhs.c(151),1,82,0.8659,1,0.04225,0.4343,0.02857,0.04286,0.04286,70,69,1,4,3,1
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/rhs.c(158),1,98,0.8776,1,0.03488,0.4402,0.02871,0.03529,0.03529,85,84,1,4,3,1
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/rhs.c(166),1,125,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/rhs.c(178),1,98,0.8776,1,0.03488,0.4402,0.02871,0.03529,0.03529,85,84,1,4,3,1
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/rhs.c(185),1,82,0.8659,1,0.04225,0.4343,0.02857,0.04286,0.04286,70,69,1,4,3,1
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/rhs.c(167),1,113,0.885,1,0.03,0.444,0.02905,0.0303,0.0303,99,98,1,4,3,1
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/rhs.c(75),1,70,0.1286,1,0.6667,0.05405,0,0,0,16,8,8,16,8,8
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/rhs.c(76),1,58,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/rhs.c(77),1,46,0.1957,1,0.6667,0.09524,0,0,0,16,8,8,16,8,8
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/rhs.c(78),1,34,0.7647,0,0,0.3944,0.02817,0,0,23,23,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/rhs.c(52),1,233,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/rhs.c(53),1,221,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/rhs.c(54),1,209,0.8804,2,0.04891,0.4379,0.03704,0.0582,0.0582,189,182,7,14,7,7
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/verify.c(323),0,63,0.2857,0,0,0.1867,0.06667,0,0,9,9,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/verify.c(304),0,63,0.2857,0,0,0.1867,0.06667,0,0,9,9,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/verify.c(278),1,46,0.6957,0,0,0.3774,0.07547,0,0,28,28,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/verify.c(68),0,16,0.5,0,0,0.2941,0.05882,0,0,4,4,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/verify.c(61),0,18,0.5556,1,0.3,0.2927,0.04878,0.3333,0.3333,9,8,1,4,3,1
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/x_solve.c(72),1,2993,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/x_solve.c(73),0,2981,0.1245,1,0.8625,0.005892,0.001453,0.0001985,0.0001985,5038,2542,2496,4992,2496,2496
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/x_solve.c(74),1,921,0.8936,3,0.04374,0.4487,0.04467,0.04317,0.04317,834,801,33,66,33,33
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/x_solve.c(154),1,1813,0.8853,2,0.08847,0.4268,0.04729,0.07863,0.07863,1806,1666,140,280,140,140
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/x_solve.c(346),0,75,0.7733,0,0,0.4061,0.05455,0,0,53,53,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/x_solve.c(386),0,81,0,0,0,0,0,0,0,0,0,0,0,0,0
