loop-location,icc-parallel,loop-absolute-size,loop-payload-fraction,loop-proper-sccs-number,loop-critical-payload-fraction,iterator-payload-total-cohesion,iterator-payload-non-cf-cohesion,critical-payload-total-cohesion,critical-payload-non-cf-cohesion,payload-total-dependencies-number,payload-true-dependencies-number,payload-anti-dependencies-number,critical-payload-total-dependencies-number,critical-payload-true-dependencies-number,critical-payload-anti-dependencies-number
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(91),1,517,0.94,3,0.1523,0.4189,0.01893,0.1195,0.1195,619,548,71,163,92,71
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(128),1,132,0.8712,2,0.1652,0.3772,0.03293,0.1056,0.1056,161,135,26,56,30,26
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(138),1,95,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(146),1,136,0.875,2,0.1597,0.3801,0.03216,0.1152,0.1152,165,139,26,56,30,26
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(75),0,19,0.5789,0,0,0.3171,0.04878,0,0,8,8,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(81),1,21,0.619,0,0,0.3333,0.04444,0,0,10,10,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(139),1,83,0.8434,1,0.04286,0.4254,0.03867,0.04348,0.04348,69,68,1,4,3,1
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(52),1,57,0.1404,1,0.625,0.06667,0,0,0,12,6,6,12,6,6
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(53),1,45,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(54),1,33,0.2424,1,0.625,0.1111,0,0,0,12,6,6,12,6,6
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_solution.c(44),0,114,0.8246,1,0.4043,0.3843,0.04982,0.2222,0.2222,117,104,13,63,50,13
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(197),1,64,0.2188,2,0.5714,0.1268,0.01408,0.04762,0.04762,21,12,9,18,9,9
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(199),1,47,0.383,2,0.4444,0.2258,0.01613,0.08,0.08,25,16,9,18,9,9
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(202),0,25,0.68,0,0,0.3585,0.03774,0,0,14,14,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(180),1,64,0.2188,2,0.5714,0.1268,0.01408,0.04762,0.04762,21,12,9,18,9,9
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(182),1,47,0.383,2,0.4444,0.2258,0.01613,0.08,0.08,25,16,9,18,9,9
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(185),0,25,0.68,0,0,0.3585,0.03774,0,0,14,14,0,0,0,0
