loop-absolute-size,loop-payload-fraction,loop-proper-sccs-number,iterator-payload-total-cohesion,iterator-payload-non-cf-cohesion,iterator-payload-mem-cohesion,critical0payload0total0cohesion,critical0payload0non0cf0cohesion,critical0payload0mem0cohesion,payload-total-dependencies-number,payload-true-dependencies-number,payload-anti-dependencies-number,payload-output-dependencies-number,critical-payload-total-dependencies-number,critical-payload-true-dependencies-number,critical-payload-anti-dependencies-number,critical-payload-output-dependencies-number
84,0.119,1,0.04444,0,0,0,0,0,0,0,0,0,20,10,10,0
72,0.1389,1,0.05714,0,0,0,0,0,0,0,0,0,20,10,10,0
60,0.1667,1,0.08,0,0,0,0,0,0,0,0,0,20,10,10,0
48,0.8125,1,0.4078,0.02913,0,0.07895,0.07895,0,34,0,34,0,4,1,3,0
91,0.8242,1,0.2651,0.01606,0,0.1049,0.08392,0,69,13,56,0,74,36,38,0
14,0.4286,0,0.2581,0.06452,0,0,0,0,3,0,3,0,0,0,0,0
20,0.25,0,0.1818,0.02273,0,0,0,0,0,0,0,0,0,0,0,0
10,0.3,0,0.1905,0.04762,0,0,0,0,0,0,0,0,0,0,0,0
10,0.3,0,0.1905,0.04762,0,0,0,0,0,0,0,0,0,0,0,0
5,0.2,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.2,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0.4348,2,0.2113,0.02817,0,0.0625,0.0625,0,6,0,6,0,26,12,14,0
25,0.72,1,0.3455,0.01818,0,0.1579,0.1579,0,10,0,10,0,9,2,7,0
97,0.03093,1,0.03361,0.01681,0,0.3333,0.3333,0,1,0,1,0,2,1,1,0
80,0.0375,1,0.04124,0.02062,0,0.3333,0.3333,0,1,0,1,0,2,1,1,0
63,0.3016,2,0.1667,0.02381,0,0.0625,0.0625,0,6,0,6,0,26,13,13,0
41,0.7561,1,0.3571,0.04082,0,0.1081,0.1081,0,19,0,19,0,18,5,13,0
13,0.4615,0,0.2593,0.03704,0,0,0,0,3,0,3,0,0,0,0,0
46,0.4348,2,0.2113,0.02817,0,0.0625,0.0625,0,6,0,6,0,26,12,14,0
25,0.72,1,0.3455,0.01818,0,0.1579,0.1579,0,10,0,10,0,9,2,7,0
72,0.1111,1,0.04878,0,0,0,0,0,0,0,0,0,12,6,6,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0.75,1,0.3571,0.03571,0,0.09677,0.09677,0,17,0,17,0,14,4,10,0
13,0.4615,0,0.2593,0.03704,0,0,0,0,3,0,3,0,0,0,0,0
71,0.1268,1,0.05263,0,0,0,0,0,0,0,0,0,16,8,8,0
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0.7714,1,0.3867,0.02667,0,0.07692,0.07692,0,22,0,22,0,4,1,3,0
1078,0.002783,1,0.001287,0.0006437,0,0.3333,0.3333,0,1,0,1,0,2,1,1,0
1061,0.002828,1,0.001324,0.000662,0,0.3333,0.3333,0,1,0,1,0,2,1,1,0
156,0.6667,5,0.2903,0.0457,0,0.1257,0.1257,0,67,0,67,0,124,56,68,0
517,0.94,3,0.4189,0.01893,0,0.1195,0.1195,0,456,0,456,0,163,71,92,0
132,0.8712,2,0.3772,0.03293,0,0.1056,0.1056,0,105,0,105,0,56,26,30,0
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,0.875,2,0.3801,0.03216,0,0.1152,0.1152,0,109,0,109,0,56,26,30,0
19,0.5789,0,0.3171,0.04878,0,0,0,0,8,0,8,0,0,0,0,0
21,0.619,0,0.3333,0.04444,0,0,0,0,10,0,10,0,0,0,0,0
83,0.8434,1,0.4254,0.03867,0,0.04348,0.04348,0,65,0,65,0,4,1,3,0
1078,0.002783,1,0.001287,0.0006437,0,0.3333,0.3333,0,1,0,1,0,2,1,1,0
1061,0.002828,1,0.001324,0.000662,0,0.3333,0.3333,0,1,0,1,0,2,1,1,0
156,0.6667,5,0.2903,0.0457,0,0.1257,0.1257,0,67,0,67,0,124,56,68,0
517,0.94,3,0.4189,0.01893,0,0.1195,0.1195,0,456,0,456,0,163,71,92,0
132,0.8712,2,0.3772,0.03293,0,0.1056,0.1056,0,105,0,105,0,56,26,30,0
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,0.875,2,0.3801,0.03216,0,0.1152,0.1152,0,109,0,109,0,56,26,30,0
19,0.5789,0,0.3171,0.04878,0,0,0,0,8,0,8,0,0,0,0,0
21,0.619,0,0.3333,0.04444,0,0,0,0,10,0,10,0,0,0,0,0
83,0.8434,1,0.4254,0.03867,0,0.04348,0.04348,0,65,0,65,0,4,1,3,0
1078,0.002783,1,0.001287,0.0006437,0,0.3333,0.3333,0,1,0,1,0,2,1,1,0
1061,0.002828,1,0.001324,0.000662,0,0.3333,0.3333,0,1,0,1,0,2,1,1,0
156,0.6667,5,0.2903,0.0457,0,0.1257,0.1257,0,67,0,67,0,124,56,68,0
517,0.94,3,0.4189,0.01893,0,0.1195,0.1195,0,456,0,456,0,163,71,92,0
132,0.8712,2,0.3772,0.03293,0,0.1056,0.1056,0,105,0,105,0,56,26,30,0
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,0.875,2,0.3801,0.03216,0,0.1152,0.1152,0,109,0,109,0,56,26,30,0
19,0.5789,0,0.3171,0.04878,0,0,0,0,8,0,8,0,0,0,0,0
21,0.619,0,0.3333,0.04444,0,0,0,0,10,0,10,0,0,0,0,0
83,0.8434,1,0.4254,0.03867,0,0.04348,0.04348,0,65,0,65,0,4,1,3,0
57,0.1404,1,0.06667,0,0,0,0,0,0,0,0,0,12,6,6,0
45,0.1778,1,0.08333,0,0,0,0,0,0,0,0,0,12,6,6,0
33,0.2424,1,0.1111,0,0,0,0,0,0,0,0,0,12,6,6,0
21,0.6667,0,0.3488,0.02326,0,0,0,0,11,0,11,0,0,0,0,0
114,0.8246,1,0.3843,0.04982,0,0.2222,0.2222,0,54,0,54,0,63,13,50,0
64,0.2188,2,0.1268,0.01408,0,0.04762,0.04762,0,3,0,3,0,18,9,9,0
47,0.383,2,0.2258,0.01613,0,0.08,0.08,0,7,0,7,0,18,9,9,0
25,0.68,0,0.3585,0.03774,0,0,0,0,14,0,14,0,0,0,0,0
64,0.2188,2,0.1268,0.01408,0,0.04762,0.04762,0,3,0,3,0,18,9,9,0
47,0.383,2,0.2258,0.01613,0,0.08,0.08,0,7,0,7,0,18,9,9,0
25,0.68,0,0.3585,0.03774,0,0,0,0,14,0,14,0,0,0,0,0
64,0.2188,2,0.1268,0.01408,0,0.04762,0.04762,0,3,0,3,0,18,9,9,0
47,0.383,2,0.2258,0.01613,0,0.08,0.08,0,7,0,7,0,18,9,9,0
25,0.68,0,0.3585,0.03774,0,0,0,0,14,0,14,0,0,0,0,0
64,0.2188,2,0.1268,0.01408,0,0.04762,0.04762,0,3,0,3,0,18,9,9,0
47,0.383,2,0.2258,0.01613,0,0.08,0.08,0,7,0,7,0,18,9,9,0
25,0.68,0,0.3585,0.03774,0,0,0,0,14,0,14,0,0,0,0,0
64,0.2188,2,0.1268,0.01408,0,0.04762,0.04762,0,3,0,3,0,18,9,9,0
47,0.383,2,0.2258,0.01613,0,0.08,0.08,0,7,0,7,0,18,9,9,0
25,0.68,0,0.3585,0.03774,0,0,0,0,14,0,14,0,0,0,0,0
64,0.2188,2,0.1268,0.01408,0,0.04762,0.04762,0,3,0,3,0,18,9,9,0
47,0.383,2,0.2258,0.01613,0,0.08,0.08,0,7,0,7,0,18,9,9,0
25,0.68,0,0.3585,0.03774,0,0,0,0,14,0,14,0,0,0,0,0
212,0.08019,2,0.04523,0.005025,0,0.03704,0.03704,0,3,0,3,0,24,12,12,0
195,0.08718,2,0.05143,0.005714,0,0.03704,0.03704,0,3,0,3,0,24,12,12,0
178,0.2416,5,0.09554,0.006369,0,0.01053,0.01053,0,3,0,3,0,92,46,46,0
18,0.5556,0,0.3077,0.05128,0,0,0,0,7,0,7,0,0,0,0,0
18,0.5556,0,0.3077,0.05128,0,0,0,0,7,0,7,0,0,0,0,0
18,0.5556,0,0.3077,0.05128,0,0,0,0,7,0,7,0,0,0,0,0
101,0.8713,3,0.4025,0.02966,0,0.1415,0.1415,0,82,0,82,0,24,12,12,0
57,0.1404,1,0.06667,0,0,0,0,0,0,0,0,0,12,6,6,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0.2424,1,0.1111,0,0,0,0,0,0,0,0,0,12,6,6,0
21,0.6667,0,0.3488,0.02326,0,0,0,0,11,0,11,0,0,0,0,0
30,0.6667,0,0.3636,0.06061,0,0,0,0,16,0,16,0,0,0,0,0
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,0.8378,0,0.4416,0.03896,0,0,0,0,54,0,54,0,0,0,0,0
72,0.125,1,0.05263,0,0,0,0,0,0,0,0,0,16,8,8,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0.1875,1,0.09091,0,0,0,0,0,0,0,0,0,16,8,8,0
36,0.7778,1,0.3896,0.02597,0,0.1111,0.1111,0,23,0,23,0,4,1,3,0
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,0.1277,1,0.06452,0,0,0,0,0,0,0,0,0,28,14,14,0
82,0.8659,1,0.4343,0.02857,0,0.04286,0.04286,0,66,0,66,0,4,1,3,0
122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0.8776,1,0.4402,0.02871,0,0.03529,0.03529,0,81,0,81,0,4,1,3,0
149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,0.112,1,0.05405,0,0,0,0,0,0,0,0,0,36,18,18,0
113,0.885,1,0.444,0.02905,0,0.0303,0.0303,0,95,0,95,0,4,1,3,0
122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0.8776,1,0.4402,0.02871,0,0.03529,0.03529,0,81,0,81,0,4,1,3,0
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,0.8659,1,0.4343,0.02857,0,0.04286,0.04286,0,66,0,66,0,4,1,3,0
840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
816,0.9179,4,0.4425,0.03231,0,0.05589,0.05589,0,718,0,718,0,105,42,63,0
1403,0.0727,1,0.001958,0.0003917,0,0.001357,0.001357,0,2,0,2,0,1472,736,736,0
828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,0.1182,1,0.05882,0,0,0,0,0,0,0,0,0,32,16,16,0
94,0.1277,1,0.06452,0,0,0,0,0,0,0,0,0,28,14,14,0
816,0.9179,4,0.4425,0.03231,0,0.05589,0.05589,0,718,0,718,0,105,42,63,0
82,0.8659,1,0.4343,0.02857,0,0.04286,0.04286,0,66,0,66,0,4,1,3,0
98,0.8776,1,0.4402,0.02871,0,0.03529,0.03529,0,81,0,81,0,4,1,3,0
125,0.112,1,0.05405,0,0,0,0,0,0,0,0,0,36,18,18,0
98,0.8776,1,0.4402,0.02871,0,0.03529,0.03529,0,81,0,81,0,4,1,3,0
82,0.8659,1,0.4343,0.02857,0,0.04286,0.04286,0,66,0,66,0,4,1,3,0
113,0.885,1,0.444,0.02905,0,0.0303,0.0303,0,95,0,95,0,4,1,3,0
1379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
828,0.07971,1,0.008547,0,0,0,0,0,0,0,0,0,244,122,122,0
196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,0.075,1,0.02632,0.008772,0,0.04348,0.04348,0,2,0,2,0,44,22,22,0
816,0.9179,4,0.4425,0.03231,0,0.05589,0.05589,0,718,0,718,0,105,42,63,0
82,0.8659,1,0.4343,0.02857,0,0.04286,0.04286,0,66,0,66,0,4,1,3,0
98,0.8776,1,0.4402,0.02871,0,0.03529,0.03529,0,81,0,81,0,4,1,3,0
125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0.8776,1,0.4402,0.02871,0,0.03529,0.03529,0,81,0,81,0,4,1,3,0
82,0.8659,1,0.4343,0.02857,0,0.04286,0.04286,0,66,0,66,0,4,1,3,0
113,0.885,1,0.444,0.02905,0,0.0303,0.0303,0,95,0,95,0,4,1,3,0
70,0.1286,1,0.05405,0,0,0,0,0,0,0,0,0,16,8,8,0
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0.1957,1,0.09524,0,0,0,0,0,0,0,0,0,16,8,8,0
34,0.7647,0,0.3944,0.02817,0,0,0,0,23,0,23,0,0,0,0,0
233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,0.8804,2,0.4379,0.03704,0,0.0582,0.0582,0,175,0,175,0,14,7,7,0
63,0.2857,0,0.1867,0.06667,0,0,0,0,9,0,9,0,0,0,0,0
63,0.2857,0,0.1867,0.06667,0,0,0,0,9,0,9,0,0,0,0,0
46,0.6957,0,0.3774,0.07547,0,0,0,0,28,0,28,0,0,0,0,0
16,0.5,0,0.2941,0.05882,0,0,0,0,4,0,4,0,0,0,0,0
18,0.5556,1,0.2927,0.04878,0,0.3333,0.3333,0,5,0,5,0,4,1,3,0
2993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2981,0.1245,1,0.005892,0.001453,0,0.0001985,0.0001985,0,46,0,46,0,4992,2496,2496,0
921,0.8936,3,0.4487,0.04467,0,0.04317,0.04317,0,768,0,768,0,66,33,33,0
1813,0.8853,2,0.4268,0.04729,0,0.07863,0.07863,0,1526,0,1526,0,280,140,140,0
75,0.7733,0,0.4061,0.05455,0,0,0,0,53,0,53,0,0,0,0,0
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0.8689,1,0.4264,0.0155,0,0.07407,0.07407,0,46,0,46,0,8,2,6,0
2983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2971,0.1326,1,0.006707,0.0003232,0,0.0001984,0.0001984,0,64,0,64,0,4976,2488,2488,0
911,0.8935,3,0.4482,0.04462,0,0.04474,0.04474,0,759,0,759,0,68,34,34,0
1813,0.8853,2,0.4268,0.04729,0,0.07863,0.07863,0,1526,0,1526,0,280,140,140,0
75,0.7733,0,0.4061,0.05455,0,0,0,0,53,0,53,0,0,0,0,0
81,0.1235,1,0.06061,0,0,0,0,0,0,0,0,0,20,10,10,0
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0.8689,1,0.4264,0.0155,0,0.07407,0.07407,0,46,0,46,0,8,2,6,0
2986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2974,0.1241,1,0.005819,0.001455,0,0.0001992,0.0001992,0,45,0,45,0,4976,2488,2488,0
915,0.894,3,0.4484,0.04444,0,0.04452,0.04452,0,763,0,763,0,68,34,34,0
1813,0.8853,2,0.4268,0.04729,0,0.07863,0.07863,0,1526,0,1526,0,280,140,140,0
75,0.7733,0,0.4061,0.05455,0,0,0,0,53,0,53,0,0,0,0,0
81,0.1235,1,0.06061,0,0,0,0,0,0,0,0,0,20,10,10,0
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0.8689,1,0.4264,0.0155,0,0.07407,0.07407,0,46,0,46,0,8,2,6,0
67,0.8806,1,0.3571,0.005952,0,0.08989,0.08989,0,10,0,10,0,79,21,58,0
46,0.7174,1,0.2241,0.03448,0,0.2105,0.1228,0,31,11,20,0,26,12,14,0
100,0.51,4,0.1676,0.01117,0,0.02362,0.02362,0,16,6,10,0,111,54,57,0
